comment number,random index,month,year,topic,contribution
359137,97269373,6,2015,22,0.5236868
361862,61825655,6,2015,14,0.30293742
362459,11342206,7,2015,4,0.2695531
364233,19986274,7,2015,48,0.7490861
367512,79433382,7,2015,49,0.44150162
371851,64810570,7,2015,48,0.6763712
373999,61630187,7,2015,22,0.5174911
378640,94660175,8,2015,33,0.785904
379952,24850492,8,2015,4,0.23410152
380182,53926961,8,2015,28,0.6684017
382937,47365310,8,2015,4,0.2925484
384357,51603697,8,2015,22,0.53926295
386257,71726465,9,2015,49,0.5220239
387921,70384321,9,2015,48,0.6932283
388288,79798934,9,2015,16,0.6653921
391868,50982267,9,2015,33,0.715915
393007,26685682,9,2015,33,0.77225524
395419,67000095,9,2015,22,0.6624053
398174,84116382,10,2015,47,0.31050086
398473,71253356,10,2015,33,0.7629316
400963,43118772,10,2015,14,0.28491664
403569,33355986,10,2015,12,0.85148704
407274,24208706,11,2015,33,0.72095513
409191,33612332,11,2015,28,0.63415873
409484,55263936,11,2015,12,0.8054851
412280,35623229,12,2015,28,0.64532393
412378,32151989,12,2015,12,0.7925226
413405,56675323,12,2015,27,0.6730649
415524,62121297,12,2015,47,0.28710356
417011,10459789,1,2016,49,0.44315365
417183,60095687,1,2016,47,0.3187388
419283,65548826,1,2016,27,0.6728521
420558,50978185,1,2016,14,0.2791124
423350,68272402,1,2016,12,0.8051688
423912,91401954,1,2016,22,0.56058717
424473,39513850,1,2016,48,0.7307215
430067,76433596,2,2016,27,0.67270035
437504,20108868,3,2016,47,0.34926617
437510,60402560,3,2016,47,0.34930477
437516,65608964,3,2016,47,0.34926856
437522,88041363,3,2016,47,0.3493603
437526,36988245,3,2016,47,0.34935728
437531,75856440,3,2016,47,0.34926566
437532,93824440,3,2016,47,0.3493272
438405,32556642,3,2016,22,0.53527063
443882,64159939,4,2016,4,0.26087883
444225,67924087,4,2016,27,0.67291385
446961,37698010,4,2016,29,0.46768206
448447,67680217,4,2016,14,0.32095876
451102,77480834,5,2016,47,0.28298607
452834,20281160,5,2016,33,0.7788899
453055,97360587,5,2016,29,0.3862773
453415,75777237,5,2016,27,0.6729303
455590,25898970,5,2016,48,0.8010413
455807,81921699,5,2016,22,0.53532565
459423,40249378,6,2016,33,0.78000134
459544,33999321,6,2016,49,0.47746974
460535,70236815,6,2016,22,0.53907603
461521,58280612,6,2016,14,0.37660867
461756,22275574,6,2016,49,0.44498727
464326,71295839,6,2016,27,0.672844
465045,37535821,6,2016,23,0.8115231
465720,57629144,6,2016,28,0.644769
465812,44898985,6,2016,48,0.66296357
466708,35519547,6,2016,48,0.7054637
468176,74517549,6,2016,27,0.67283154
471266,94749951,7,2016,27,0.6728514
471835,29801210,7,2016,22,0.61182666
471856,84371334,7,2016,28,0.65151805
472337,76175325,7,2016,4,0.23762162
475470,45995026,7,2016,22,0.57170945
477133,54119116,7,2016,22,0.538199
482732,76431082,8,2016,27,0.6726942
484331,34270812,8,2016,28,0.7001289
486048,19996531,8,2016,22,0.5540008
486050,53951365,8,2016,22,0.58146167
487990,48993716,9,2016,23,0.68637633
488174,47059646,9,2016,47,0.30097663
491713,20051013,9,2016,22,0.5593033
492802,37789329,9,2016,27,0.67294514
498288,63435958,10,2016,29,0.7571144
500103,73877283,10,2016,16,0.6828381
501696,23295772,10,2016,33,0.7331305
501748,96125743,10,2016,12,0.84190667
506271,78123700,11,2016,4,0.25052083
508635,88190065,11,2016,28,0.64174396
511760,71532752,11,2016,22,0.6360786
511856,81172632,11,2016,29,0.41371205
521795,44720238,12,2016,33,0.73891705
522634,31640765,12,2016,14,0.29292676
527781,38956543,12,2016,33,0.8183606
532166,52934677,1,2017,27,0.672768
